City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
440,Pauini,BR,-7.7136,-66.9764,78.35,51,0,2.06,clear sky
441,Vao,NC,-22.6667,167.4833,70.27,70,51,12.73,broken clouds
442,Sena Madureira,BR,-9.0656,-68.6569,76.24,47,0,1.43,clear sky
443,Sabang,ID,5.8933,95.3214,82.56,73,100,21.97,overcast clouds
444,Alice Springs,AU,-23.7,133.8833,63.95,34,0,23.02,clear sky
445,Tocache,PE,-8.1842,-76.5125,72.79,83,25,1.3,scattered clouds
446,Kilindoni,TZ,-7.9139,39.6668,75.92,79,3,8.7,clear sky
447,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,62,0,5.75,clear sky
448,Bata,GQ,1.8639,9.7658,76.75,82,99,5.7,overcast clouds
449,Baherden,TM,38.4362,57.4316,87.13,15,12,6.08,few clouds
450,Kitimat,CA,54.0524,-128.6534,64.78,74,76,6.11,light rain
451,Freeport,US,40.6576,-73.5832,81.25,82,1,3.44,clear sky
452,Sakakah,SA,29.9697,40.2064,92.77,21,0,9.53,clear sky
453,Hofn,IS,64.2539,-15.2082,59.52,66,5,4.23,clear sky
454,Sambava,MG,-14.2667,50.1667,70.34,84,45,13.87,light rain
455,Alenquer,BR,-1.9417,-54.7383,80.94,77,80,2.1,broken clouds
456,Launceston,AU,-41.45,147.1667,46.15,100,33,8.05,scattered clouds
457,Superior,US,46.7208,-92.1041,66.7,74,75,9.22,broken clouds
458,Cintalapa,MX,16.6951,-93.7272,78.08,88,59,4.0,broken clouds
459,Krasnogorsk,RU,55.8225,37.3181,62.19,82,0,8.95,clear sky
460,Lac Du Bonnet,CA,50.2536,-96.0612,75.58,56,98,10.63,overcast clouds
461,Portland,US,45.5234,-122.6762,79.2,43,75,3.0,broken clouds
462,Hami,CN,42.8,93.45,83.95,24,99,1.81,overcast clouds
463,Mpanda,TZ,-6.3655,31.0409,64.54,44,5,0.94,clear sky
464,Meulaboh,ID,4.1363,96.1285,75.15,88,100,4.14,moderate rain
465,Am Timan,TD,11.0297,20.2827,74.95,82,86,4.43,light rain
466,Worcester,US,42.3334,-71.8328,77.56,72,20,10.36,few clouds
467,Udachnyy,RU,66.4167,112.4,63.55,75,68,8.25,broken clouds
468,Maracas,BR,-13.4411,-40.4308,59.86,91,97,7.49,overcast clouds
469,Poitiers,FR,46.5833,0.3333,70.79,43,0,4.61,clear sky
