City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Mangan,IN,77.5,overcast clouds,27.5167,88.5333,Hotel Mout View
249,Awbari,LY,84.6,clear sky,26.5921,12.7805,فندق أوباري
250,Somerset,US,81.1,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
251,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
255,Pandan,PH,82.2,overcast clouds,14.0453,124.1694,Bonifacio Lodge
258,Shenjiamen,CN,79.02,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
259,Nishihara,JP,81.68,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
262,Cravo Norte,CO,76.35,light rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
271,Ugoofaaru,MV,83.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
275,Urbandale,US,88.09,scattered clouds,41.6267,-93.7122,Hilton Garden Inn Des Moines/Urbandale
279,Hambantota,LK,80.06,overcast clouds,6.1241,81.1185,Bungalow 63
287,Banda Aceh,ID,79.32,overcast clouds,5.5577,95.3222,Sulthan Hotel International
288,Hay River,CA,76.98,smoke,60.8156,-115.7999,Ptarmigan Inn
289,Eirunepe,BR,77.05,clear sky,-6.6603,-69.8736,Atrás de você
296,Dandong,CN,78.15,overcast clouds,40.1292,124.3947,Yiranju Farmstay
300,Honiara,SB,84.11,scattered clouds,-9.4333,159.95,Heritage Park Hotel
304,Sidi Ali,DZ,77.2,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
314,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
315,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
321,Aklavik,CA,88.52,scattered clouds,68.2191,-135.0107,Aklavik Inn
322,Matay,EG,84.79,clear sky,28.419,30.7792,Nag Aespen
324,Les Cayes,HT,81.91,broken clouds,18.2,-73.75,Villa Orphee
329,Bethel,US,78.08,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
330,Lazaro Cardenas,MX,85.57,broken clouds,17.9583,-102.2,quinta antigua
335,Lorengau,PG,83.17,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
337,Takoradi,GH,75.51,scattered clouds,4.8845,-1.7554,Raybow International Hotel
338,Evanston,US,77.22,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
346,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
